Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17
TJ Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29
Josh Hart,Utah Jazz,Villanova,2017,1,30,30
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33
Frank Mason,Sacramento Kings,Kansas,2017,2,4,34
Ivan Rabb,Orlando Magic,California,2017,2,5,35
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43
Damyean Dotson,New York Knicks,Houston,2017,2,14,44
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55
Jabari Bird,Boston Celtics,California,2017,2,26,56
Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57
Ognen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60
